,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,name_type,Name_Fix
2829,Daniel Braeutigam | Daniel Brautigam,Daniel,Braeutigam,Philadelphia,Philadelphia County,PA,US,town,Daniel Braeutigam | Daniel Brautigam
2829,Daniel Braeutigam | Daniel Brautigam,Daniel,Brautigam,Philadelphia,Philadelphia County,PA,US,town,Daniel Braeutigam | Daniel Brautigam
2830,David Evans,David,Evans,,Bucks County,PA,US,county,David Evans
2831,John Templeton,John,Templeton,,Chester County,PA,US,county,John Templeton
2832,Robert Patton,Robert,Patton,Dauphin,Dauphin County,PA,US,town,Robert Patton
2834,Richard Leedom,Richard,Leedom,,Bucks County,PA,US,county,Richard Leedom
2835,Andrew Summeres | Andrew Summers,andrew,Summeres,Philadelphia,Philadelphia County,PA,US,town,andrew Summeres | andrew Summers
2835,Andrew Summeres | Andrew Summers,andrew,Summers,Philadelphia,Philadelphia County,PA,US,town,andrew Summeres | andrew Summers
2837,Elizabeth Roberdeau | Elizabeth Robertdeau,Elizabeth,Roberdeau,Philadelphia,Philadelphia County,PA,US,town,Elizabeth Roberdeau | Elizabeth Robertdeau
2837,Elizabeth Roberdeau | Elizabeth Robertdeau,Elizabeth,Robertdeau,Philadelphia,Philadelphia County,PA,US,town,Elizabeth Roberdeau | Elizabeth Robertdeau
2838,Robert Ross,Robert,Ross,Philadelphia,Philadelphia County,PA,US,town,Robert Ross
2839,Barbara Sivert,Barbara,Sivert,Philadelphia,Philadelphia County,PA,US,town,Barbara Sivert
2840,Charles Young,Charles,Young,Philadelphia,Philadelphia County,PA,US,town,Charles Young
2843,John Craig,John,Craig,Philadelphia,Philadelphia County,PA,US,town,John Craig
2844,Thomas Hamilton,Thomas,Hamilton,Philadelphia,Philadelphia County,PA,US,town,Thomas Hamilton
2845,Jacob Holland,Jacob,Holland,Philadelphia,Philadelphia County,PA,US,town,Jacob Holland
2846,Philip Stockton,Philip,Stockton,,,NJ,US,state,Philip Stockton
2847,Elizabeth Cuthbert,Elizabeth,Cuthbert,,,PA,US,state,Elizabeth Cuthbert
2848,Matthew Fitzwater,Matthew,Fitzwater,,Montgomery County,PA,US,county,Matthew Fitzwater
2849,Abraham Sheridan,Abraham,Sheridan,Philadelphia,Philadelphia County,PA,US,town,Abraham Sheridan
2852,William Hendle,William,Hendle,,Lancaster County,PA,US,county,William Hendle
2853,James Jones,James,Jones,,Kent County,DE,US,county,James Jones
2854,Reed and Forde | Reide and Forde,John,Reed,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
2854,Reed and Forde | Reide and Forde,Standish,Forde,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
2855,Michael Gunaker | Michael Gundaker,Michael,Gunaker,Lancaster,Lancaster County,PA,US,town,Michael Gunaker | Michael Gundaker
2855,Michael Gunaker | Michael Gundaker,Michael,Gundaker,Lancaster,Lancaster County,PA,US,town,Michael Gunaker | Michael Gundaker
2858,John Butler | John Butler from Treasury,John,Butler,Philadelphia,Philadelphia County,PA,US,town,John Butler
2860,William McCalla,William,Mccalla,,,PA,US,state,William Mccalla
2862,George Gosner,George,Gosner,,,PA,US,state,George Gosner
2863,William Cook,William,Cook,,Northumberland County,PA,US,county,William Cook
2865,Robert Taggart,Robert,Taggart,Philadelphia,Philadelphia County,PA,US,town,Robert Taggart
2866,Andrew Yeatman,andrew,Yeatman,,,DE,US,state,andrew Yeatman
2868,John Guier,John,Guier,Philadelphia,Philadelphia County,PA,US,town,John Guier
2869,Mathias Keeley,Mathias,Keeley,Philadelphia,Philadelphia County,PA,US,town,Mathias Keeley
2870,Benjamin Scull,Benjamin,Scull,Philadelphia,Philadelphia County,PA,US,town,Benjamin Scull
2871,Juliana Albright,Juliana,Albright,,,PA,US,state,Juliana Albright
2872,Ann Cook,Ann,Cook,Philadelphia,Philadelphia County,PA,US,town,Ann Cook
2873,John Cook,John,Cook,,Northumberland County,PA,US,county,John Cook
2876,Jasper Moylan,Jasper,Moylan,Philadelphia,Philadelphia County,PA,US,town,Jasper Moylan
2877,Jacob Lawer Swyler | Jacob Sawer Swyler,Jacob Lawer,Swyler,,Philadelphia County,PA,US,county,Jacob Lawer Swyler | Jacob Sawer Swyler
2877,Jacob Lawer Swyler | Jacob Sawer Swyler,Jacob Sawer,Swyler,,Philadelphia County,PA,US,county,Jacob Lawer Swyler | Jacob Sawer Swyler
2878,Sarah Blewer,Sarah,Blewer,Philadelphia,Philadelphia County,PA,US,town,Sarah Blewer
2883,Anne Maria Esler,Anne Maria,Esler,Philadelphia,Philadelphia County,PA,US,town,Anne Maria Esler
2884,Michael Gundaker,Michael,Gundaker,Lancaster,Lancaster County,PA,US,town,Michael Gundaker
2886,John M Nesbett | John Maxwell Nesbitt,John M,Nesbett,Philadelphia,Philadelphia County,PA,US,town,John M Nesbett | John Maxwell Nesbitt
2886,John M Nesbett | John Maxwell Nesbitt,John Maxwell,Nesbitt,Philadelphia,Philadelphia County,PA,US,town,John M Nesbett | John Maxwell Nesbitt
2889,John M Nesbitt | John Maxwell Nesbitt,John M,Nesbitt,Philadelphia,Philadelphia County,PA,US,town,John M Nesbitt | John Maxwell Nesbitt
2889,John M Nesbitt | John Maxwell Nesbitt,John Maxwell,Nesbitt,Philadelphia,Philadelphia County,PA,US,town,John M Nesbitt | John Maxwell Nesbitt
2892,Mary Rogers,Mary,Rogers,,,PA,US,state,Mary Rogers
2894,Anne Maria Esler,Anne Maria,Esler,,,PA,US,state,Anne Maria Esler
2896,William Mackenzie | William Mc Kenzie,William,Mackenzie,,,PA,US,state,William Mackenzie | William Mc Kenzie
2896,William Mackenzie | William Mc Kenzie,William Mc,Kenzie,,,PA,US,state,William Mackenzie | William Mc Kenzie
2897,William Moulder,William,Moulder,Philadelphia,Philadelphia County,PA,US,town,William Moulder
2899,Reed and Forde,John,Reed,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
2899,Reed and Forde,Standish,Forde,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
2901,George Corbin,George,Corbin,Accomac,Accomack County,VA,US,town,George Corbin
2902,Standish Forde,Standish,Forde,Philadelphia,Philadelphia County,PA,US,town,Standish Forde
2903,George Clymer,George,Clymer,Philadelphia,Philadelphia County,PA,US,town,George Clymer
2904,George Forepaugh,George,Forepaugh,Philadelphia,Philadelphia County,PA,US,town,George Forepaugh
2905,Henry Piercy,Henry,Piercy,Princeton,Middlesex County,NJ,US,town,Henry Piercy
2907,Joseph Bale,Joseph,Bale,,,PA,US,state,Joseph Bale
2908,Peter Browne,Peter,Browne,New Kensington,Westmoreland County,PA,US,town,Peter Browne
2912,Leonard Stoneburner,Leonard,Stoneburner,,,PA,US,state,Leonard Stoneburner
2913,John Cooke,John,Cooke,Philadelphia,Philadelphia County,PA,US,town,John Cooke
2916,James Harris,James,Harris,,,PA,US,state,James Harris
2917,Mary Chevalier | Mary Chevalier Guardian to William Chevalier,Mary,Chevalier,Philadelphia,Philadelphia County,PA,US,town,Mary Chevalier | William Chevalier
2917,Mary Chevalier | Mary Chevalier Guardian to William Chevalier,William,Chevalier,Philadelphia,Philadelphia County,PA,US,town,Mary Chevalier | William Chevalier
2918,Henry Darroch,Henry,Darroch,Philadelphia,Philadelphia County,PA,US,town,Henry Darroch
2919,Leonard Gansevoort,Leonard,Gansevoort,Albany,Albany County,NY,US,town,Leonard Gansevoort
2920,David Caldwell,David,Caldwell,Philadelphia,Philadelphia County,PA,US,town,David Caldwell
2921,George Campbell,George,Campbell,,,PA,US,state,George Campbell
2922,Stephen Girard,Stephen,Girard,Philadelphia,Philadelphia County,PA,US,town,Stephen Girard
2923,Joseph Boggs,Joseph,Boggs,Philadelphia,Philadelphia County,PA,US,town,Joseph Boggs
2925,Thomas Keltand | Thomas Ketland | Thomas Kettand,Thomas,Keltand,Philadelphia,Philadelphia County,PA,US,town,Thomas Keltand | Thomas Ketland | Thomas Kettand
2925,Thomas Keltand | Thomas Ketland | Thomas Kettand,Thomas,Ketland,Philadelphia,Philadelphia County,PA,US,town,Thomas Keltand | Thomas Ketland | Thomas Kettand
2925,Thomas Keltand | Thomas Ketland | Thomas Kettand,Thomas,Kettand,Philadelphia,Philadelphia County,PA,US,town,Thomas Keltand | Thomas Ketland | Thomas Kettand
2926,Jacob Kenner,Jacob,Kenner,,Northampton County,PA,US,county,Jacob Kenner
2928,Ephraim Blaine,Ephraim,Blaine,Carlisle,Cumberland County,PA,US,town,Ephraim Blaine
2929,Joseph Stiles for Society and Co | Society for the Relief of poor and distressed Masters of Ships their Widows,Joseph,Stiles,,,PA,US,state,Joseph Stiles
2930,Joseph Boggs | Joseph Bogs,Joseph,Boggs,Philadelphia,Philadelphia County,PA,US,town,Joseph Boggs | Joseph Bogs
2930,Joseph Boggs | Joseph Bogs,Joseph,Bogs,Philadelphia,Philadelphia County,PA,US,town,Joseph Boggs | Joseph Bogs
2932,Jacob Graff,Jacob,Graff,Philadelphia,Philadelphia County,PA,US,town,Jacob Graff
2933,William Stuart,William,Stuart,King George,King George County,VA,US,town,William Stuart
2936,Matthew Clarkson | Matthew Clerkson,Matthew,Clarkson,Philadelphia,Philadelphia County,PA,US,town,Matthew Clarkson | Matthew Clerkson
2936,Matthew Clarkson | Matthew Clerkson,Matthew,Clerkson,Philadelphia,Philadelphia County,PA,US,town,Matthew Clarkson | Matthew Clerkson
2937,Michael Gundacker | Michael Gundaker,Michael,Gundacker,Lancaster,Lancaster County,PA,US,town,Michael Gundacker | Michael Gundaker
2937,Michael Gundacker | Michael Gundaker,Michael,Gundaker,Lancaster,Lancaster County,PA,US,town,Michael Gundacker | Michael Gundaker
2938,George Habacker | George Habaker,George,Habacker,Philadelphia,Philadelphia County,PA,US,town,George Habacker | George Habaker
2938,George Habacker | George Habaker,George,Habaker,Philadelphia,Philadelphia County,PA,US,town,George Habacker | George Habaker
2939,Nathaniel Irwin,Nathaniel,Irwin,,,PA,US,state,Nathaniel Irwin
2940,Justina Law | Justina Lenen,Justina,Law,Lancaster,Lancaster County,PA,US,town,Justina Law | Justina Lenen
2940,Justina Law | Justina Lenen,Justina,Lenen,Lancaster,Lancaster County,PA,US,town,Justina Law | Justina Lenen
2941,James Lyle | James Syle,James,Lyle,Philadelphia,Philadelphia County,PA,US,town,James Lyle | James Syle
2941,James Lyle | James Syle,James,Syle,Philadelphia,Philadelphia County,PA,US,town,James Lyle | James Syle
2942,Elijah Mc Clanahan | Elijah McClanahan,Elijah Mc,Clanahan,,Chester County,PA,US,county,Elijah Mc Clanahan | Elijah Mcclanahan
2942,Elijah Mc Clanahan | Elijah McClanahan,Elijah,Mcclanahan,,Chester County,PA,US,county,Elijah Mc Clanahan | Elijah Mcclanahan
2943,Samuel Pancoast,Samuel,Pancoast,Philadelphia,Philadelphia County,PA,US,town,Samuel Pancoast
2944,Willing Morries and Swanwick | Willing Morris and Swanwick,John,Swanwick,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
2944,Willing Morries and Swanwick | Willing Morris and Swanwick,Robert,Morris,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
2944,Willing Morries and Swanwick | Willing Morris and Swanwick,Thomas,Willing,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
2948,Patrick Duffey,Patrick,Duffey,Philadelphia,Philadelphia County,PA,US,town,Patrick Duffey
2949,Silas Engle | Silas Engles,Silas,Engle,Philadelphia,Philadelphia County,PA,US,town,Silas Engle | Silas Engles
2949,Silas Engle | Silas Engles,Silas,Engles,Philadelphia,Philadelphia County,PA,US,town,Silas Engle | Silas Engles
2951,William Findley,William,Findley,,Westmoreland County,PA,US,county,William Findley
2952,James Johnston | James Johnston and Co,James,Johnston,,,PA,US,state,James Johnston
2953,John McCleland | John McClelland,John,Mccleland,Philadelphia,Philadelphia County,PA,US,town,John Mccleland | John Mcclelland
2953,John McCleland | John McClelland,John,Mcclelland,Philadelphia,Philadelphia County,PA,US,town,John Mccleland | John Mcclelland
2954,Robert Patterson,Robert,Patterson,Philadelphia,Philadelphia County,PA,US,town,Robert Patterson
2955,George Bickham,George,Bickham,Philadelphia,Philadelphia County,PA,US,town,George Bickham
2958,Abraham Dubois,Abraham,Dubois,Philadelphia,Philadelphia County,PA,US,town,Abraham Dubois
2959,Samuel Noble,Samuel,Noble,Philadelphia,Philadelphia County,PA,US,town,Samuel Noble
2960,Joseph Paschall,Joseph,Paschall,Philadelphia,Philadelphia County,PA,US,town,Joseph Paschall
2961,John D Alvey,John D,Alvey,,,NJ,US,state,John D Alvey
2962,George Aston,George,Aston,Philadelphia,Philadelphia County,PA,US,town,George Aston
2963,Ernst L Baisch,Ernst L,Baisch,Philadelphia,Philadelphia County,PA,US,town,Ernst L Baisch
2964,William Elliot | William Elliott,William,Elliot,Philadelphia,Philadelphia County,PA,US,town,William Elliot | William Elliott
2964,William Elliot | William Elliott,William,Elliott,Philadelphia,Philadelphia County,PA,US,town,William Elliot | William Elliott
2966,Frederick Vernon,Frederick,Vernon,Philadelphia,Philadelphia County,PA,US,town,Frederick Vernon
2970,Gabriel Heister | Gatriel Heister,Gabriel,Heister,Reading,Berks County,PA,US,town,Gabriel Heister | Gatriel Heister
2970,Gabriel Heister | Gatriel Heister,Gatriel,Heister,Reading,Berks County,PA,US,town,Gabriel Heister | Gatriel Heister
2972,John Linn,John,Linn,,York County,PA,US,county,John Linn
2973,John McGarvey,John,Mcgarvey,,Bucks County,PA,US,county,John Mcgarvey
2974,Mary Rush,Mary,Rush,Philadelphia,Philadelphia County,PA,US,town,Mary Rush
2976,Samuel Turbett,Samuel,Turbett,,,PA,US,state,Samuel Turbett
2980,John Brackbill,John,Brackbill,Lancaster,Lancaster County,PA,US,town,John Brackbill
2981,James Campbell,James,Campbell,,Franklin County,PA,US,county,James Campbell
2984,Thomas Hamilton,Thomas,Hamilton,,,PA,US,state,Thomas Hamilton
2985,Daniel Heister,Daniel,Heister,Reading,Berks County,PA,US,town,Daniel Heister
2986,Hezekiah Niles,Hezekiah,Niles,,New Castle County,DE,US,county,Hezekiah Niles
2987,Nicholas Pomp,Nicholas,Pomp,,Montgomery County,PA,US,county,Nicholas Pomp
2988,William Rankin,William,Rankin,,Franklin County,PA,US,county,William Rankin
2990,Anne Wikoff,Anne,Wikoff,Philadelphia,Philadelphia County,PA,US,town,Anne Wikoff
2991,Wilder Bevins,Wilder,Bevins,,Lancaster County,PA,US,county,Wilder Bevins
2992,Robert S Bickley,Robert S,Bickley,Philadelphia,Philadelphia County,PA,US,town,Robert S Bickley
2993,John Capp,John,Capp,,,PA,US,state,John Capp
2994,Charles Fausett | Charles Faussett,Charles,Fausett,,,PA,US,state,Charles Fausett | Charles Faussett
2994,Charles Fausett | Charles Faussett,Charles,Faussett,,,PA,US,state,Charles Fausett | Charles Faussett
2995,Henry Huttenstein,Henry,Huttenstein,,,PA,US,state,Henry Huttenstein
2997,Christopher Lash,Christopher,Lash,,Berks County,PA,US,county,Christopher Lash
2998,Benjamin Morgan,Benjamin,Morgan,Philadelphia,Philadelphia County,PA,US,town,Benjamin Morgan
2999,Jacob Myers,Jacob,Myers,Burlington,Burlington County,NJ,US,town,Jacob Myers
3000,Berdd and Pryor | Budd Pryor | Budd and Pryor,John,Budd,Philadelphia,Philadelphia County,PA,US,town,John Budd | Norton Pryor
3000,Berdd and Pryor | Budd Pryor | Budd and Pryor,Norton,Pryor,Philadelphia,Philadelphia County,PA,US,town,John Budd | Norton Pryor
3001,William Rannals,William,Rannals,,Franklin County,PA,US,county,William Rannals
3002,Jebediah Swan | Jedediah Swan,Jebediah,Swan,,,NJ,US,state,Jebediah Swan | Jedediah Swan
3002,Jebediah Swan | Jedediah Swan,Jedediah,Swan,,,NJ,US,state,Jebediah Swan | Jedediah Swan
3004,Philip Albright,Philip,Albright,York Township,York County,PA,US,town,Philip Albright
3005,Samuel Anderson,Samuel,anderson,Philadelphia,Philadelphia County,PA,US,town,Samuel anderson
3007,Elias Boys,Elias,Boys,Philadelphia,Philadelphia County,PA,US,town,Elias Boys
3009,James Davidson,James,Davidson,,Northumberland County,PA,US,county,James Davidson
3010,William Knox,William,Knox,Philadelphia,Philadelphia County,PA,US,town,William Knox
3011,Jacob Lawer Swyler | Jacob Lawerswyler,Jacob Lawer,Swyler,Philadelphia,Philadelphia County,PA,US,town,Jacob Lawer Swyler | Jacob Lawerswyler
3011,Jacob Lawer Swyler | Jacob Lawerswyler,Jacob,Lawerswyler,Philadelphia,Philadelphia County,PA,US,town,Jacob Lawer Swyler | Jacob Lawerswyler
3012,Joseph Le Blane | Joseph Leblanc,Joseph Le,Blane,Philadelphia,Philadelphia County,PA,US,town,Joseph Le Blane | Joseph Leblanc
3012,Joseph Le Blane | Joseph Leblanc,Joseph,Leblanc,Philadelphia,Philadelphia County,PA,US,town,Joseph Le Blane | Joseph Leblanc
3014,William McCurdy,William,Mccurdy,Sunbury,Northumberland County,PA,US,town,William Mccurdy
3015,James McDowell,James,Mcdowell,,Franklin County,PA,US,county,James Mcdowell
3017,John Nicholson,John,Nicholson,Philadelphia,Philadelphia County,PA,US,town,John Nicholson
3018,John Nicholson,John,Nicholson,,,PA,US,state,John Nicholson
3019,Joseph R Tatem,Joseph R,Tatem,,,PA,US,state,Joseph R Tatem
3021,William Wister,William,Wister,Philadelphia,Philadelphia County,PA,US,town,William Wister
3023,Isaac Wikoff,Isaac,Wikoff,,,NJ,US,state,Isaac Wikoff
3024,Hans Hamilton,Hans,Hamilton,,,PA,US,state,Hans Hamilton
3025,Henry Hill,Henry,Hill,Philadelphia,Philadelphia County,PA,US,town,Henry Hill
3026,David Huchinson | David Hutchinson,David,Huchinson,,Chester County,PA,US,county,David Huchinson | David Hutchinson
3026,David Huchinson | David Hutchinson,David,Hutchinson,,Chester County,PA,US,county,David Huchinson | David Hutchinson
3027,John Lockhart,John,Lockhart,Philadelphia,Philadelphia County,PA,US,town,John Lockhart
3029,John Steinmety | John Steinmetz,John,Steinmety,Philadelphia,Philadelphia County,PA,US,town,John Steinmety | John Steinmetz
3029,John Steinmety | John Steinmetz,John,Steinmetz,Philadelphia,Philadelphia County,PA,US,town,John Steinmety | John Steinmetz
3031,Samuel Beall | Samuel Beatt | Smauel Beall,Samuel,Beall,,James City County,VA,US,county,Samuel Beall | Samuel Beatt | Smauel Beall
3031,Samuel Beall | Samuel Beatt | Smauel Beall,Samuel,Beatt,,James City County,VA,US,county,Samuel Beall | Samuel Beatt | Smauel Beall
3031,Samuel Beall | Samuel Beatt | Smauel Beall,Smauel,Beall,,James City County,VA,US,county,Samuel Beall | Samuel Beatt | Smauel Beall
3033,William Hall,William,Hall,Philadelphia,Philadelphia County,PA,US,town,William Hall
3035,James O'Hara,James,O'Hara,Pittsburgh,Allegheny County,PA,US,town,James O'Hara
3037,William Shiphen | William Shippen,William,Shiphen,Philadelphia,Philadelphia County,PA,US,town,William Shiphen | William Shippen
3037,William Shiphen | William Shippen,William,Shippen,Philadelphia,Philadelphia County,PA,US,town,William Shiphen | William Shippen
3039,Ditta in Trust for Jonnet Thompson,Jonnet,Thompson,,,PA,US,state,Jonnet Thompson
3041,Mary Brownfield,Mary,Brownfield,,,PA,US,state,Mary Brownfield
3042,Agnes Ann Davidson | Agness ann Davidson,Agnes Ann,Davidson,,,PA,US,state,Agnes Ann Davidson | Agness Ann Davidson
3042,Agnes Ann Davidson | Agness ann Davidson,Agness Ann,Davidson,,,PA,US,state,Agnes Ann Davidson | Agness Ann Davidson
3044,Mary Heyl,Mary,Heyl,Philadelphia,Philadelphia County,PA,US,town,Mary Heyl
3048,Margaret Fullerton,Margaret,Fullerton,,,PA,US,state,Margaret Fullerton
3050,Samuel Hay,Samuel,Hay,Newark,Essex County,NJ,US,town,Samuel Hay
3052,William Wikoff,William,Wikoff,,Monmouth County,NJ,US,county,William Wikoff
3053,Joseph Ashton,Joseph,Ashton,,,PA,US,state,Joseph Ashton
3055,Andrew Boshart,andrew,Boshart,Philadelphia,Philadelphia County,PA,US,town,andrew Boshart
3056,Charles Gilchrist,Charles,Gilchrist,Philadelphia,Philadelphia County,PA,US,town,Charles Gilchrist
3057,John Murray,John,Murray,,,NY,US,state,John Murray
3058,John Shields,John,Shields,Philadelphia,Philadelphia County,PA,US,town,John Shields
3059,Jacob C Wikoff,Jacob C,Wikoff,Philadelphia,Philadelphia County,PA,US,town,Jacob C Wikoff
3060,Elizabeth Coombe,Elizabeth,Coombe,,Bucks County,PA,US,county,Elizabeth Coombe
3061,John Phillips,John,Phillips,Philadelphia,Philadelphia County,PA,US,town,John Phillips
3062,John Wagner,John,Wagner,Philadelphia,Philadelphia County,PA,US,town,John Wagner
3063,Gunning Bedford | Gunning Bedford Esq,Gunning,Bedford,,New Castle County,DE,US,county,Gunning Bedford | Gunning Bedford Esq
3063,Gunning Bedford | Gunning Bedford Esq,Gunning Bedford,Esq,,New Castle County,DE,US,county,Gunning Bedford | Gunning Bedford Esq
3068,Cadwalader Evans | Cadwallader Evans,Cadwalader,Evans,Philadelphia,Philadelphia County,PA,US,town,Cadwalader Evans | Cadwallader Evans
3068,Cadwalader Evans | Cadwallader Evans,Cadwallader,Evans,Philadelphia,Philadelphia County,PA,US,town,Cadwalader Evans | Cadwallader Evans
3069,John Gale,John,Gale,,Somerset County,MD,US,county,John Gale
3070,John Hallowell,John,Hallowell,,,PA,US,state,John Hallowell
3071,Mary McCaraher,Mary,Mccaraher,,Chester County,PA,US,county,Mary Mccaraher
3073,Jacob Morgan,Jacob,Morgan,Philadelphia,Philadelphia County,PA,US,town,Jacob Morgan
3074,Napthali Phillips,Napthali,Phillips,Philadelphia,Philadelphia County,PA,US,town,Napthali Phillips
3076,Mary Simpson,Mary,Simpson,Philadelphia,Philadelphia County,PA,US,town,Mary Simpson
3077,John Stille,John,Stille,Philadelphia,Philadelphia County,PA,US,town,John Stille
3078,Jacob Lawer Swyler,Jacob Lawer,Swyler,Philadelphia,Philadelphia County,PA,US,town,Jacob Lawer Swyler
3080,Samuel Jackosn | Samuel Jackson,Samuel,Jackosn,Philadelphia,Philadelphia County,PA,US,town,Samuel Jackosn | Samuel Jackson
3080,Samuel Jackosn | Samuel Jackson,Samuel,Jackson,Philadelphia,Philadelphia County,PA,US,town,Samuel Jackosn | Samuel Jackson
3081,George L Lefler | George L Lyler,George L,Lefler,York Township,York County,PA,US,town,George L Lefler | George L Lyler
3081,George L Lefler | George L Lyler,George L,Lyler,York Township,York County,PA,US,town,George L Lefler | George L Lyler
3082,Joseph Oldden,Joseph,Oldden,,,PA,US,state,Joseph Oldden
3084,John Maxwell Nesbitt,John Maxwell,Nesbitt,Philadelphia,Philadelphia County,PA,US,town,John Maxwell Nesbitt
3085,Andrew Geyer,andrew,Geyer,Philadelphia,Philadelphia County,PA,US,town,andrew Geyer
3086,David Jackosn | David Jackson,David,Jackosn,Philadelphia,Philadelphia County,PA,US,town,David Jackosn | David Jackson
3086,David Jackosn | David Jackson,David,Jackson,Philadelphia,Philadelphia County,PA,US,town,David Jackosn | David Jackson
3087,John Craig,John,Craig,,Lancaster County,PA,US,county,John Craig
3088,John Bright,John,Bright,,Berks County,PA,US,county,John Bright
3089,Maurice Davis,Maurice,Davis,,,PA,US,state,Maurice Davis
3092,Michael Newman | Michael Norman,Michael,Newman,,York County,PA,US,county,Michael Newman | Michael Norman
3092,Michael Newman | Michael Norman,Michael,Norman,,York County,PA,US,county,Michael Newman | Michael Norman
3093,Conrad Stinger,Conrad,Stinger,,Berks County,PA,US,county,Conrad Stinger
3101,Robert Stevenson,Robert,Stevenson,Philadelphia,Philadelphia County,PA,US,town,Robert Stevenson
3102,Wilhem and Jan Willink and William Bingham | William and Jan Willink and William Bingham,Jan,Willink,,,PA,US,state,Jan Willink | William Bingham | William Willink
3102,Wilhem and Jan Willink and William Bingham | William and Jan Willink and William Bingham,William,Bingham,,,PA,US,state,Jan Willink | William Bingham | William Willink
3102,Wilhem and Jan Willink and William Bingham | William and Jan Willink and William Bingham,William,Willink,,,PA,US,state,Jan Willink | William Bingham | William Willink
3104,George Bickham,George,Bickham,,,PA,US,state,George Bickham
3106,Nathaniel Irwin Admin to the Est of Richard Walker deceased,Nathaniel,Irwin,,,PA,US,state,Nathaniel Irwin | Richard Walker
3106,Nathaniel Irwin Admin to the Est of Richard Walker deceased,Richard,Walker,,,PA,US,state,Nathaniel Irwin | Richard Walker
3107,Joseph Latil,Joseph,Latil,,,VA,US,state,Joseph Latil
3108,Cornelius Comegys,Cornelius,Comegys,Philadelphia,Philadelphia County,PA,US,town,Cornelius Comegys
3109,James Hawthorn,James,Hawthorn,,,MA,US,state,James Hawthorn
3110,Edward Barthalomew | Edward Bartholomew,Edward,Barthalomew,Philadelphia,Philadelphia County,PA,US,town,Edward Barthalomew | Edward Bartholomew
3110,Edward Barthalomew | Edward Bartholomew,Edward,Bartholomew,Philadelphia,Philadelphia County,PA,US,town,Edward Barthalomew | Edward Bartholomew
3112,John Cox,John,Cox,Philadelphia,Philadelphia County,PA,US,town,John Cox
3113,William Drinker,William,Drinker,Philadelphia,Philadelphia County,PA,US,town,William Drinker
3114,Thomas Jones,Thomas,Jones,,Berks County,PA,US,county,Thomas Jones
3115,Thomas Ferguson,Thomas,Ferguson,Philadelphia,Philadelphia County,PA,US,town,Thomas Ferguson
3116,Samuel Fulton,Samuel,Fulton,Philadelphia,Philadelphia County,PA,US,town,Samuel Fulton
3117,Reynold Keen,Reynold,Keen,Philadelphia,Philadelphia County,PA,US,town,Reynold Keen
3118,Nathaniel Brown,Nathaniel,Brown,Philadelphia,Philadelphia County,PA,US,town,Nathaniel Brown
3119,Jasper Moylad,Jasper,Moylad,,,PA,US,state,Jasper Moylad
3120,Garrett Cottringer,Garrett,Cottringer,Philadelphia,Philadelphia County,PA,US,town,Garrett Cottringer
3122,Robert Henderson,Robert,Henderson,Philadelphia,Philadelphia County,PA,US,town,Robert Henderson
3125,John Thompson | John Thomson,John,Thompson,Philadelphia,Philadelphia County,PA,US,town,John Thompson | John Thomson
3125,John Thompson | John Thomson,John,Thomson,Philadelphia,Philadelphia County,PA,US,town,John Thompson | John Thomson
3126,Hannah Hay,Hannah,Hay,,,PA,US,state,Hannah Hay
3127,Jacob Bankson | Jaocb Bankson,Jacob,Bankson,Philadelphia,Philadelphia County,PA,US,town,Jacob Bankson | Jaocb Bankson
3127,Jacob Bankson | Jaocb Bankson,Jaocb,Bankson,Philadelphia,Philadelphia County,PA,US,town,Jacob Bankson | Jaocb Bankson
3128,Simon Bennett,Simon,Bennett,,Philadelphia County,PA,US,county,Simon Bennett
3129,Thomas Broom,Thomas,Broom,Philadelphia,Philadelphia County,PA,US,town,Thomas Broom
3131,Thomas Davis,Thomas,Davis,,Northumberland County,VA,US,county,Thomas Davis
3133,Richard Curson,Richard,Curson,Baltimore,Baltimore County,MD,US,town,Richard Curson
3135,David Jones,David,Jones,,Chester County,PA,US,county,David Jones
3136,John McIntire,John,Mcintire,,York County,PA,US,county,John Mcintire
3137,Richard Miles,Richard,Miles,,Chester County,PA,US,county,Richard Miles
3138,John Story,John,Story,Philadelphia,Philadelphia County,PA,US,town,John Story
3139,Henry Miller,Henry,Miller,Philadelphia,Philadelphia County,PA,US,town,Henry Miller
3141,James Boggs,James,Boggs,,,PA,US,state,James Boggs
3142,Wiiliam French | William French,William,French,,,PA,US,state,William French
3143,Raper Hoskins,Raper,Hoskins,Philadelphia,Philadelphia County,PA,US,town,Raper Hoskins
3144,Alexander Lockhart,Alexander,Lockhart,,Berks County,PA,US,county,Alexander Lockhart
3145,Benjamin McKewon,Benjamin,Mckewon,,Chester County,PA,US,county,Benjamin Mckewon
